Series Name,Series Code,Country Name,Country Code,2013 [YR2013],Title, TestCol, TestCol
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,36896,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,5889,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,33055,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,ADO,939,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,1344,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Anguilla,AIA,3,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,92,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,213522,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,39586,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,171,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,19444,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,21575,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,33103,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahamas,BHS,751,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,42514,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,246674,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,133,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,68376,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,71065,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,86,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,1914,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,157,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,105,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,85141,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bonaire Sint Eustatius and Saba,,13,,,
